accuracy,loss,val_accuracy,val_loss
0.25795361399650574,3.756103992462158,0.05000000074505806,5.517590045928955
0.549846887588501,2.086013078689575,0.17100000381469727,3.990541696548462
0.7757359743118286,1.0948878526687622,0.10999999940395355,5.432120323181152
0.9474967122077942,0.36903417110443115,0.13600000739097595,5.220911502838135
0.9953122138977051,0.084952212870121,0.30550000071525574,3.4679746627807617
0.9994374513626099,0.0251763965934515,0.4345000088214874,2.618027925491333
1.0,0.011617213487625122,0.4645000100135803,2.4270365238189697
1.0,0.007007843814790249,0.48124998807907104,2.3714489936828613
1.0,0.004856226500123739,0.5005000233650208,2.294538736343384
1.0,0.00362189719453454,0.5027499794960022,2.2865195274353027
1.0,0.002768025966361165,0.5,2.284156084060669
1.0,0.0021959247533231974,0.5072500109672546,2.286674737930298
1.0,0.0017351482529193163,0.5044999718666077,2.318709135055542
1.0,0.0014085631119087338,0.5067499876022339,2.3463857173919678
1.0,0.0011575298849493265,0.5049999952316284,2.328040599822998
1.0,0.0009483430767431855,0.5099999904632568,2.327003240585327
1.0,0.0007924351957626641,0.5074999928474426,2.363335609436035
1.0,0.0006630751886405051,0.5027499794960022,2.37410044670105
1.0,0.0005536495591513813,0.5062500238418579,2.366328239440918
1.0,0.0004671270144172013,0.5044999718666077,2.4020752906799316
1.0,0.0003979008470196277,0.5047500133514404,2.394284248352051
1.0,0.00033330381847918034,0.5049999952316284,2.4102258682250977
1.0,0.00028719688998535275,0.5077499747276306,2.419135570526123
1.0,0.00024410088371951133,0.5057500004768372,2.424957275390625
1.0,0.00020888613653369248,0.5065000057220459,2.4407098293304443
1.0,0.00018040217400994152,0.503000020980835,2.4518251419067383
1.0,0.00015320155944209546,0.5047500133514404,2.4662230014801025
1.0,0.000131445616716519,0.5065000057220459,2.4631505012512207
1.0,0.0001144141424447298,0.5055000185966492,2.4618477821350098
1.0,9.748626325745136e-05,0.503250002861023,2.492638111114502
1.0,8.527564932592213e-05,0.5019999742507935,2.5100808143615723
1.0,7.356433343375102e-05,0.5027499794960022,2.516883611679077
1.0,6.31110233371146e-05,0.5009999871253967,2.5019407272338867
1.0,5.486757436301559e-05,0.500249981880188,2.518824577331543
1.0,4.700626959674992e-05,0.5012500286102295,2.5316734313964844
1.0,4.1030067222891375e-05,0.5027499794960022,2.5149343013763428
1.0,3.6011027987115085e-05,0.5015000104904175,2.5478365421295166
1.0,3.1083993235370144e-05,0.5012500286102295,2.537947177886963
1.0,2.6862197046284564e-05,0.49775001406669617,2.5655648708343506
1.0,2.3703281840425916e-05,0.5012500286102295,2.5604710578918457
1.0,2.0227033019182272e-05,0.49950000643730164,2.5712838172912598
1.0,1.773471558408346e-05,0.4984999895095825,2.5907704830169678
1.0,1.5536923456238583e-05,0.4970000088214874,2.6044905185699463
1.0,1.3447950550471433e-05,0.4964999854564667,2.598944664001465
1.0,1.140695621870691e-05,0.49775001406669617,2.6108198165893555
1.0,1.0286481483490206e-05,0.4962500035762787,2.6174027919769287
1.0,8.858260116539896e-06,0.4962500035762787,2.634843349456787
1.0,7.775623089401051e-06,0.49549999833106995,2.641407012939453
1.0,6.837167802586919e-06,0.49674999713897705,2.6525964736938477
1.0,5.929206054133829e-06,0.49524998664855957,2.6583378314971924
